                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6538,                  7.505,                0.90052,                 0.4875,                0.02908,                0.01763,                0.01151,                 1.2828,                 3.2148,                0.85315,              0.0033236,              0.0033236,              0.0033236
                      2,                 1.4861,                 5.1241,                0.88253,                0.60103,                0.07054,                0.05938,                0.03817,                 1.3133,                 2.8249,                0.86844,              0.0066405,              0.0066405,              0.0066405
                      3,                 1.5282,                   4.92,                0.89817,                0.40667,                 0.1263,                0.08009,                0.05065,                 1.3193,                 2.4363,                 0.8739,              0.0099409,              0.0099409,              0.0099409
                      4,                 1.5412,                 4.4462,                0.88871,                 0.4843,                0.12668,                0.10594,                0.06599,                 1.2168,                  2.431,                 0.8627,              0.0099258,              0.0099258,              0.0099258
                      5,                  1.393,                 3.6614,                0.88037,                0.36729,                0.13585,                0.10001,                0.06571,                 1.2072,                 2.2595,                0.86382,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.3476,                 2.8847,                0.88198,                0.51808,                 0.1475,                0.13054,                0.08937,                 1.1393,                 2.0395,                0.85968,               0.009901,               0.009901,               0.009901
                      7,                 1.3701,                 2.5426,                0.87471,                0.55786,                0.17647,                0.15651,                 0.1049,                 1.1575,                  1.947,                0.85756,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.3441,                  2.343,                0.87193,                0.49352,                0.20315,                0.16784,                0.11371,                 1.1346,                 1.8888,                0.85099,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.2753,                 2.1676,                0.85479,                0.49042,                0.19957,                 0.1735,                0.11948,                 1.0714,                 1.8464,                0.84926,              0.0098268,              0.0098268,              0.0098268
                     10,                  1.226,                 2.0069,                0.84751,                0.61143,                0.16271,                0.19051,                0.13348,                  1.055,                 1.7744,                0.84813,               0.009802,               0.009802,               0.009802
                     11,                 1.2413,                 1.9704,                0.85566,                0.57212,                 0.1793,                0.19108,                0.13377,                 1.0529,                 1.7578,                0.84317,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.2497,                 1.9505,                 0.8527,                0.58199,                0.19089,                0.19694,                0.13919,                 1.0471,                 1.7339,                0.83669,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.1988,                 1.8909,                0.85534,                0.55752,                0.19736,                0.22355,                0.15921,                 1.0098,                 1.6969,                0.83923,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.1819,                 1.8066,                0.85155,                0.51243,                0.22651,                0.20621,                0.14507,                 1.0108,                 1.7034,                0.83354,               0.009703,               0.009703,               0.009703
                     15,                 1.1562,                 1.7865,                0.85096,                0.55543,                0.19846,                0.23024,                0.16465,                0.99236,                 1.6538,                0.83241,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.1594,                 1.6974,                 0.8601,                0.55278,                0.21829,                0.24888,                0.17819,                0.97906,                 1.5923,                0.83781,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.1295,                 1.6646,                0.85329,                0.56639,                0.22258,                0.23341,                0.16657,                0.97869,                 1.6065,                0.83741,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.1412,                 1.7312,                0.83423,                   0.54,                 0.2472,                0.25877,                0.18579,                0.94616,                 1.5229,                0.82828,               0.009604,               0.009604,               0.009604
                     19,                 1.1306,                 1.6458,                 0.8335,                0.47813,                0.27516,                 0.2662,                0.19669,                0.93809,                 1.5425,                0.82995,              0.0095793,              0.0095793,              0.0095793
                     20,                    1.1,                 1.6965,                0.84356,                0.49824,                0.28356,                0.26673,                0.19054,                0.96902,                 1.5801,                0.83118,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.1336,                  1.622,                0.83246,                0.46364,                0.29058,                0.26586,                0.19479,                0.95577,                 1.5227,                0.82635,              0.0095298,              0.0095298,              0.0095298
                     22,                  1.124,                 1.6025,                0.83726,                0.51266,                0.28288,                0.27177,                0.19753,                0.95716,                  1.469,                0.82714,               0.009505,               0.009505,               0.009505
                     23,                 1.1035,                  1.578,                0.84333,                0.57015,                0.26429,                0.29069,                0.21243,                0.93973,                 1.4616,                0.82225,              0.0094803,              0.0094803,              0.0094803
                     24,                  1.123,                 1.5088,                0.83204,                0.47719,                0.26936,                0.27926,                0.20505,                 0.9367,                 1.4812,                0.82366,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.1434,                 1.6181,                0.83697,                0.53181,                0.28068,                0.31404,                0.22681,                 0.9359,                 1.4312,                0.82191,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.0864,                 1.5966,                0.82535,                0.52401,                0.28045,                0.30601,                0.22305,                0.94497,                 1.4744,                0.82132,               0.009406,               0.009406,               0.009406
                     27,                 1.1009,                 1.5583,                0.83019,                0.53671,                0.30067,                    0.3,                0.22083,                0.91835,                 1.4288,                0.82255,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.1167,                 1.5002,                0.82857,                0.58081,                0.28561,                0.31317,                0.23476,                0.94054,                 1.4216,                0.82067,              0.0093565,              0.0093565,              0.0093565
                     29,                  1.063,                  1.489,                0.83009,                0.47121,                0.30911,                0.31014,                0.23332,                0.91625,                   1.41,                0.82096,              0.0093317,              0.0093317,              0.0093317
