                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0847,                  6.022,                0.84058,                0.57487,                0.13478,                0.15648,                0.11154,                0.91952,                 1.9176,                0.81312,               0.003314,               0.003314,               0.003314
                      2,                 1.0941,                 2.7524,                0.83698,                0.53487,                0.24901,                0.22558,                0.15316,                 1.0043,                 1.6755,                0.82354,              0.0066308,              0.0066308,              0.0066308
                      3,                 1.1931,                 2.2213,                0.85962,                0.55722,                0.16702,                0.18217,                0.12133,                 1.1195,                 2.1085,                0.84893,              0.0099312,              0.0099312,              0.0099312
                      4,                 1.2886,                  2.153,                0.86781,                0.53451,                0.20496,                0.21205,                0.14416,                 1.1318,                  1.834,                0.85554,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.0667,                 1.6433,                0.84383,                0.52341,                0.22827,                 0.2731,                 0.1922,                  1.001,                 1.6332,                0.84046,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.0751,                 1.5788,                0.84858,                0.63228,                0.18432,                0.22689,                0.16347,                 1.0111,                 1.6956,                0.84308,               0.009901,               0.009901,               0.009901
                      7,                 1.1049,                 1.4943,                0.84251,                0.54799,                0.27416,                0.33063,                0.23784,                0.96032,                 1.3949,                 0.8356,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.0623,                 1.4185,                0.84004,                0.57061,                0.28208,                0.32402,                0.23601,                0.92432,                  1.364,                0.82802,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.0327,                 1.3651,                0.83156,                0.55205,                0.28182,                0.36084,                0.26427,                0.89898,                  1.363,                0.82218,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.0068,                 1.2658,                0.83831,                0.54122,                 0.3237,                0.37659,                0.27834,                0.89853,                 1.2333,                0.82336,               0.009802,               0.009802,               0.009802
                     11,                0.98582,                 1.2676,                0.83497,                 0.4953,                 0.3717,                0.41024,                0.30536,                 0.8952,                 1.2043,                0.82123,              0.0097773,              0.0097773,              0.0097773
                     12,                0.98726,                 1.2031,                0.83628,                0.56289,                0.34887,                0.39954,                0.29614,                0.87378,                 1.2015,                0.81938,              0.0097525,              0.0097525,              0.0097525
                     13,                0.98778,                 1.2127,                 0.8355,                0.51882,                0.37856,                0.43674,                0.33244,                0.86932,                 1.1332,                 0.8181,              0.0097278,              0.0097278,              0.0097278
