                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 307.81,                 41.862,                 4.1751,                 0.0004,                0.00017,                0.00021,                  6e-05,                 177.52,                 6.1824,                  4.474,              0.0033143,              0.0033143,              0.0033143
                      1,                 19.258,                 8.4621,                 1.7676,                0.39856,                0.03309,                0.01132,                0.00368,                 9.2384,                 10.805,                 1.2388,              0.0066147,              0.0066147,              0.0066147
                      2,                   6.29,                 5.6613,                 1.1237,                0.40359,                0.02947,                0.03822,                0.02159,                 4.6645,                 3.5549,                 1.0629,              0.0098821,              0.0098821,              0.0098821
                      3,                 4.4825,                 4.7066,                0.99679,                0.39665,                0.10318,                0.07365,                0.04462,                 3.1385,                 2.5217,                0.93836,              0.0098515,              0.0098515,              0.0098515
                      4,                 3.3018,                 3.5877,                 0.9425,                0.43602,                 0.1485,                0.08767,                0.05466,                 2.4247,                 2.5137,                 0.8911,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.805,                 3.1659,                0.91737,                0.50862,                0.12891,                0.11502,                0.07376,                 2.0241,                 2.1296,                0.88642,               0.009802,               0.009802,               0.009802
                      6,                 2.3573,                 2.6553,                0.91164,                0.53522,                0.16139,                0.14539,                0.09322,                  1.805,                 2.0811,                 0.8698,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0748,                 2.3506,                0.87824,                0.52032,                0.17864,                 0.1678,                0.11503,                 1.6687,                 1.9131,                0.85659,               0.009703,               0.009703,               0.009703
                      8,                 1.9153,                 2.1489,                0.87418,                0.51302,                0.21881,                0.18297,                0.12301,                 1.5154,                  1.859,                0.85146,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9209,                 2.0678,                0.87181,                0.57368,                0.20427,                0.19739,                0.13664,                 1.4782,                 1.7918,                0.84145,               0.009604,               0.009604,               0.009604
                     10,                 1.5336,                 1.8928,                0.85356,                0.55163,                 0.2113,                0.22838,                 0.1638,                 1.1106,                 1.7199,                0.83502,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4012,                 1.8741,                0.85687,                0.52885,                0.23579,                0.24118,                0.17452,                 1.0744,                  1.675,                0.83613,               0.009505,               0.009505,               0.009505
                     12,                 1.3821,                 1.8049,                0.84228,                0.42497,                0.26274,                 0.2485,                0.17998,                 1.0646,                 1.6633,                0.83916,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.325,                 1.7135,                0.84811,                0.54678,                0.24474,                 0.2774,                0.20522,                 1.0312,                  1.641,                0.83599,               0.009406,               0.009406,               0.009406
                     14,                 1.2872,                 1.6687,                0.84639,                0.45229,                0.30138,                0.29032,                0.21534,                0.97157,                 1.5902,                0.82857,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3673,                 1.7161,                0.85497,                0.47686,                0.25408,                0.27121,                0.19658,                 1.0001,                 1.6002,                0.83252,               0.009307,               0.009307,               0.009307
                     16,                 1.2481,                 1.6021,                0.84592,                0.47193,                0.27746,                0.28079,                0.20875,                0.98443,                 1.5484,                0.82737,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2718,                 1.6341,                 0.8473,                0.50583,                0.25827,                0.28591,                0.21234,                0.93222,                 1.5144,                0.82226,               0.009208,               0.009208,               0.009208
                     18,                 1.2888,                 1.6119,                0.85209,                0.50894,                0.28928,                 0.3044,                0.22407,                0.94609,                 1.5069,                0.82222,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2062,                  1.491,                0.83672,                0.45075,                0.31237,                 0.2924,                0.22206,                0.91401,                 1.4929,                0.82171,               0.009109,               0.009109,               0.009109
                     20,                 1.1769,                 1.4441,                 0.8376,                0.47187,                0.30838,                0.30306,                0.22297,                0.95254,                  1.474,                0.82459,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2231,                 1.4706,                0.84504,                0.49824,                0.32028,                0.31727,                0.23703,                0.91234,                 1.4245,                0.81984,                0.00901,                0.00901,                0.00901
                     22,                 1.2265,                   1.49,                0.83611,                0.50017,                0.29552,                 0.3472,                0.25843,                0.89763,                 1.4183,                0.81903,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.167,                 1.4413,                0.83779,                 0.5285,                0.31019,                0.34596,                0.25329,                0.95422,                 1.4135,                0.81732,               0.008911,               0.008911,               0.008911
                     24,                 1.2013,                 1.3833,                0.83222,                0.46494,                0.32106,                0.32259,                0.23539,                0.94111,                  1.382,                0.81735,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1477,                 1.3414,                0.82693,                0.46511,                0.35103,                0.34928,                0.26148,                0.94946,                 1.4055,                0.81696,               0.008812,               0.008812,               0.008812
                     26,                 1.2505,                 1.3891,                0.83205,                0.47008,                0.36109,                0.34872,                0.26638,                0.93171,                 1.3649,                0.81696,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1728,                 1.2936,                0.83227,                0.56334,                0.31414,                0.37786,                0.27854,                0.92652,                 1.3667,                0.81671,               0.008713,               0.008713,               0.008713
                     28,                 1.1879,                 1.3624,                0.82934,                0.62919,                0.31522,                0.38227,                0.28525,                0.92905,                 1.2983,                 0.8147,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.2307,                 1.3022,                0.83309,                0.47984,                 0.3533,                0.39894,                0.30126,                0.89268,                 1.2723,                0.81072,               0.008614,               0.008614,               0.008614
                     30,                 1.1277,                 1.2466,                0.82609,                0.57326,                0.35476,                0.37865,                0.28185,                0.96661,                 1.2955,                0.81601,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.2198,                 1.2359,                0.81778,                0.53224,                0.39333,                0.40983,                0.30851,                0.92292,                  1.273,                0.81076,               0.008515,               0.008515,               0.008515
                     32,                 1.1998,                 1.2208,                0.82408,                0.59087,                0.36176,                0.40834,                0.30515,                0.93041,                 1.2379,                0.80987,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.1919,                 1.2273,                0.81857,                0.61396,                0.36532,                0.41813,                0.31676,                0.93828,                 1.1991,                0.80992,               0.008416,               0.008416,               0.008416
                     34,                 1.1684,                  1.198,                0.82694,                0.63138,                0.34351,                0.42206,                0.31925,                0.91999,                 1.1979,                0.81408,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1521,                 1.1765,                0.82188,                0.64911,                0.33227,                0.41312,                0.31132,                0.93116,                 1.1815,                0.81029,               0.008317,               0.008317,               0.008317
                     36,                 1.2568,                 1.1727,                0.82415,                0.56624,                0.39646,                0.44344,                0.33591,                 0.9535,                 1.1769,                0.81004,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2027,                 1.1538,                0.81173,                0.56654,                0.37547,                0.42562,                0.31908,                0.97061,                 1.1907,                0.80938,               0.008218,               0.008218,               0.008218
                     38,                 1.1811,                 1.1365,                0.82123,                 0.5759,                0.38177,                0.45025,                 0.3355,                0.93057,                 1.1523,                0.80917,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1529,                 1.1225,                0.81606,                0.53741,                0.40459,                0.44307,                0.33342,                0.94541,                 1.1775,                0.80733,               0.008119,               0.008119,               0.008119
                     40,                 1.2191,                 1.1085,                 0.8253,                0.51385,                0.43987,                0.45041,                0.34007,                0.97324,                 1.1382,                0.80887,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1864,                 1.1022,                0.82086,                0.53794,                0.42593,                0.46383,                0.35372,                 0.9628,                 1.1187,                0.80725,                0.00802,                0.00802,                0.00802
                     42,                 1.1679,                  1.038,                0.81216,                0.60195,                0.39419,                0.48812,                0.37374,                0.96057,                 1.0955,                0.80908,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1645,                 1.0362,                 0.8104,                0.65534,                0.36611,                0.49111,                0.37461,                0.95009,                 1.0675,                0.80668,               0.007921,               0.007921,               0.007921
                     44,                 1.2068,                 1.0109,                  0.818,                0.57165,                0.43658,                 0.5008,                0.38328,                0.96777,                 1.0684,                0.80673,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2048,                 1.0394,                0.81683,                0.59139,                0.41814,                0.49254,                0.37708,                0.97126,                 1.0512,                0.80855,               0.007822,               0.007822,               0.007822
                     46,                  1.202,                 1.0539,                0.82361,                0.59547,                0.44477,                0.49545,                0.37816,                 0.9668,                 1.0379,                0.80672,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2126,                 1.0308,                0.81365,                0.62069,                0.41888,                0.51249,                 0.3954,                0.97553,                 1.0255,                0.80498,               0.007723,               0.007723,               0.007723
                     48,                 1.1401,                0.97004,                0.81356,                0.61624,                0.42673,                0.51131,                0.39325,                0.97807,                0.99878,                0.80696,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2922,                0.99843,                0.82208,                0.48834,                0.49983,                0.51898,                 0.4011,                0.98438,                0.97536,                0.80448,               0.007624,               0.007624,               0.007624
                     50,                 1.2127,                0.99818,                0.81147,                0.54837,                0.50158,                0.53652,                0.41341,                0.96319,                0.97687,                0.80371,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1724,                0.97433,                0.81785,                0.51959,                0.50592,                0.53502,                0.41499,                 1.0034,                0.98759,                0.80498,               0.007525,               0.007525,               0.007525
                     52,                 1.3065,                0.98334,                0.81903,                0.50725,                0.49106,                 0.5462,                0.42176,                0.97845,                0.98206,                0.80279,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2498,                0.96076,                0.81903,                0.53941,                0.48403,                0.54591,                0.42183,                0.99111,                0.96293,                0.80387,               0.007426,               0.007426,               0.007426
                     54,                 1.1954,                0.94628,                0.81044,                0.61493,                0.46575,                0.54443,                0.42754,                0.99302,                0.94026,                0.80286,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2587,                0.89307,                0.81811,                0.63825,                0.49817,                0.56214,                0.43851,                 1.0021,                0.94085,                0.80358,               0.007327,               0.007327,               0.007327
                     56,                 1.2474,                0.91152,                0.80954,                 0.4977,                 0.5286,                 0.5358,                0.41578,                0.99411,                0.94501,                0.80375,              0.0072775,              0.0072775,              0.0072775
