                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 368.97,                 47.639,                 4.3243,                      0,                      0,                      0,                      0,                 946.56,                 4.6935,                 3.0661,              0.0033095,              0.0033095,              0.0033095
                      1,                 20.234,                 8.4368,                 1.7026,                0.17234,                0.05071,                0.01207,                0.00582,                 7.1365,                 7.4823,                 1.1858,                0.00661,                0.00661,                0.00661
                      2,                 6.1089,                  5.261,                  1.085,                  0.347,                0.06969,                0.04389,                 0.0202,                 4.4665,                 2.9628,                 1.0021,              0.0098774,              0.0098774,              0.0098774
                      3,                 4.2723,                 4.2813,                0.97698,                0.39141,                0.10698,                0.08113,                0.04806,                 3.1866,                 2.5226,                0.91123,              0.0098515,              0.0098515,              0.0098515
                      4,                 3.6976,                 3.5288,                0.92092,                0.43291,                0.12932,                0.10873,                0.07132,                 2.8283,                 2.2275,                0.89131,              0.0098515,              0.0098515,              0.0098515
                      5,                  3.374,                  3.064,                0.92229,                 0.4439,                0.16163,                0.13873,                0.09226,                 2.4144,                 2.0634,                0.88243,               0.009802,               0.009802,               0.009802
                      6,                 2.6484,                 2.5571,                0.89467,                0.52375,                0.16242,                0.15116,                0.10291,                 1.7587,                 2.0362,                0.85556,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9413,                 2.3333,                0.86645,                0.56562,                0.16798,                0.17392,                0.12026,                 1.5836,                  1.853,                0.85023,               0.009703,               0.009703,               0.009703
                      8,                 1.9805,                 2.2222,                0.87146,                0.48058,                0.20049,                0.19397,                0.13139,                 1.5303,                 1.8755,                0.85388,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8392,                 2.0447,                0.85912,                0.52727,                0.19368,                0.19448,                0.14202,                 1.4176,                 1.7466,                0.84167,               0.009604,               0.009604,               0.009604
                     10,                  1.785,                 1.9422,                0.86345,                0.48514,                0.22578,                0.21075,                0.15073,                 1.3466,                 1.7498,                0.83534,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7582,                 1.7962,                0.84957,                0.50601,                0.21861,                0.20709,                0.14679,                 1.3592,                 1.7023,                0.84545,               0.009505,               0.009505,               0.009505
                     12,                 1.7739,                 1.7867,                0.84417,                 0.5176,                0.25439,                0.25528,                0.18601,                 1.3248,                 1.6543,                0.83655,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6518,                 1.7714,                0.84784,                0.49444,                0.26473,                0.23908,                0.17497,                 1.3333,                 1.6511,                 0.8389,               0.009406,               0.009406,               0.009406
                     14,                 1.5926,                 1.6219,                 0.8494,                0.49339,                0.26927,                0.26792,                0.19798,                 1.2191,                 1.5576,                0.82894,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6011,                 1.6805,                0.84523,                0.45783,                0.30541,                0.27346,                0.19561,                 1.2749,                 1.5633,                0.83484,               0.009307,               0.009307,               0.009307
                     16,                 1.5476,                 1.5443,                0.84715,                0.49831,                0.29439,                0.28692,                0.20965,                 1.2616,                 1.4847,                0.83087,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5785,                 1.6291,                0.84626,                 0.4633,                0.31261,                0.29148,                0.21576,                 1.2502,                 1.5269,                0.82702,               0.009208,               0.009208,               0.009208
                     18,                 1.5359,                 1.4993,                 0.8406,                0.61607,                0.25316,                0.29092,                 0.2167,                 1.2853,                 1.5299,                0.82072,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5465,                 1.5064,                0.83772,                0.48595,                0.28778,                0.28433,                0.21123,                 1.2151,                 1.4899,                0.82462,               0.009109,               0.009109,               0.009109
                     20,                 1.4958,                 1.4471,                 0.8342,                0.55284,                0.29021,                0.32769,                0.23663,                 1.2199,                 1.4119,                 0.8231,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5138,                 1.4409,                0.83511,                0.50356,                0.35215,                0.31823,                0.23459,                 1.2247,                  1.425,                0.82321,                0.00901,                0.00901,                0.00901
                     22,                  1.525,                 1.4091,                0.83398,                0.52974,                0.35133,                0.35568,                0.26474,                   1.25,                 1.3543,                0.82007,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4634,                 1.3753,                0.83481,                0.47462,                0.35914,                0.34579,                0.26227,                 1.2457,                  1.345,                0.82379,               0.008911,               0.008911,               0.008911
                     24,                 1.4987,                 1.3536,                0.82987,                0.46988,                0.35359,                 0.3526,                0.26301,                 1.2218,                  1.339,                0.82091,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5074,                 1.3205,                0.82982,                  0.529,                0.36382,                0.35542,                0.26805,                  1.236,                 1.3068,                0.81738,               0.008812,               0.008812,               0.008812
                     26,                 1.4116,                 1.3295,                0.83617,                0.58663,                0.32807,                0.38961,                0.29165,                 1.2178,                 1.2784,                0.82032,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5217,                 1.3016,                0.83526,                0.46252,                0.37409,                0.36612,                0.27189,                 1.2616,                 1.2841,                0.81724,               0.008713,               0.008713,               0.008713
                     28,                 1.4786,                 1.2942,                0.82805,                0.58621,                0.33758,                0.39409,                0.29724,                 1.2257,                 1.2304,                0.81587,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5389,                 1.2647,                0.82481,                0.52985,                0.36782,                0.38808,                0.29274,                 1.2666,                 1.2589,                0.81587,               0.008614,               0.008614,               0.008614
                     30,                 1.3783,                 1.2121,                0.82526,                0.55159,                0.38072,                0.41186,                0.30608,                 1.2253,                 1.2506,                0.81385,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5172,                 1.2311,                 0.8272,                0.54434,                 0.3873,                0.41764,                0.31278,                 1.2301,                 1.2268,                0.81579,               0.008515,               0.008515,               0.008515
                     32,                 1.4506,                  1.185,                0.83101,                 0.5418,                0.40692,                0.41792,                0.31097,                 1.2382,                 1.2113,                0.81563,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4313,                 1.1431,                0.82564,                0.63419,                0.35714,                0.42775,                0.32241,                 1.2099,                 1.1858,                0.81565,               0.008416,               0.008416,               0.008416
                     34,                 1.5458,                 1.1407,                0.82339,                0.56958,                0.38716,                0.43859,                 0.3323,                 1.1901,                 1.1262,                0.80966,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5088,                 1.1564,                0.82463,                0.64681,                0.35709,                0.45497,                0.34503,                 1.1846,                 1.0789,                0.81191,               0.008317,               0.008317,               0.008317
                     36,                 1.5259,                 1.1385,                0.82781,                0.49545,                0.42898,                0.45462,                0.34179,                 1.2015,                 1.1227,                0.80886,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4601,                 1.1023,                0.81421,                0.56813,                0.41148,                0.45828,                0.35053,                 1.2133,                  1.081,                0.81039,               0.008218,               0.008218,               0.008218
                     38,                 1.5967,                 1.0998,                0.82552,                0.50821,                 0.4065,                0.44273,                0.33376,                 1.2543,                 1.1317,                0.80923,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5577,                 1.0702,                0.81989,                0.62373,                0.40362,                0.46717,                0.35425,                 1.2682,                 1.0609,                0.81149,               0.008119,               0.008119,               0.008119
